name,suspicion,confidence,author_questions,editor_roles,genders_tagged
Ольга Неумывакина,woman_tagged_HE,very high,4658,626,HE
Ольга Хворова,woman_tagged_HE,very high,3068,1529,HE
Наталья Кудряшова,woman_tagged_HE,very high,1381,2881,HE
Ольга Кузьма,woman_tagged_HE,high,941,2278,HE
Татьяна Лещенко,woman_tagged_HE,high,2111,330,HE
Мария Клименко,woman_tagged_HE,high,436,1562,HE
Юлия Романовская,woman_tagged_HE,very high,630,849,HE
Оксана Балазанова,woman_tagged_HE,very high,242,1086,HE
Мария Трефилова,woman_tagged_HE,very high,337,924,HE
Ирина Шихова,woman_tagged_HE,very high,50,1169,HE
Татьяна Снеговская-Арш,woman_tagged_HE,high,349,844,HE
Ольга Ярославцева,woman_tagged_HE,very high,280,806,HE
Виктория Маландина,woman_tagged_HE,very high,216,774,HE
Анастасия Русова,woman_tagged_HE,very high,93,824,HE
Юлия Дидбаридзе,woman_tagged_HE,high,339,514,HE
Елена Орлова,woman_tagged_HE,very high,195,600,HE
Наталия Новыш,woman_tagged_HE,high,291,483,HE
Яна Азриэль,woman_tagged_HE,high,356,332,HE
Ирина Величко,woman_tagged_HE,high,611,0,HE
Лидия Иоффе,woman_tagged_HE,high,338,257,HE
Наталья Горелова,woman_tagged_HE,very high,139,372,HE
Юлия Воробьева,woman_tagged_HE,very high,4,499,HE
Юлия Лунёва,woman_tagged_HE,very high,188,310,HE
Валерия Комаровская,woman_tagged_HE,very high,39,427,HE
Марина Межова,woman_tagged_HE,very high,203,258,HE
Дарья Фирсова,woman_tagged_HE,very high,186,230,HE
Елена Каминская,woman_tagged_HE,very high,347,53,HE
Юлия Гафнер,woman_tagged_HE,high,271,120,HE
Наталья Голованова,woman_tagged_HE,very high,373,0,HE
Виктория Штратникова,woman_tagged_HE,very high,133,239,HE
Ирина Михлина,woman_tagged_HE,very high,148,214,HE
Людмила Полякова,woman_tagged_HE,very high,99,232,HE
Елена Потенко,woman_tagged_HE,high,155,157,HE
Надежда Чеботкова,woman_tagged_HE,very high,90,213,HE
Виктория Мелехсон,woman_tagged_HE,high,160,136,HE
Татьяна Аудерская,woman_tagged_HE,very high,280,0,HE
Ольга Ярошенко,woman_tagged_HE,high,176,96,HE
Марина Парр,woman_tagged_HE,high,128,137,HE
Елена Данилевич,woman_tagged_HE,high,100,159,HE
Виктория Казакевич,woman_tagged_HE,high,45,208,HE
Наталия Пачкова,woman_tagged_HE,very high,55,197,HE
Галина Наумова,woman_tagged_HE,very high,242,0,HE
Любовь Лодман,woman_tagged_HE,high,241,0,HE
Наталья Манусаджян,woman_tagged_HE,high,234,0,HE
Елена Морозова,woman_tagged_HE,very high,110,118,HE
Людмила Медведская,woman_tagged_HE,very high,174,54,HE
